State,Electoral Votes,URL,Biden Vote Share,Biden Vote Count,Trump Vote Share,Trump Vote Count
Alabama,9,https://www.nbcnews.com/politics/2020-elections/alabama-president-results?icid=election_usmap,0.366,849648,0.62,1441168
Alaska,3,https://www.nbcnews.com/politics/2020-elections/alaska-president-results?icid=election_usmap,0.428,153778,0.528,189951
Arizona,11,https://www.nbcnews.com/politics/2020-elections/arizona-president-results?icid=election_usmap,0.494,1672143,0.491,1661686
Arkansas,6,https://www.nbcnews.com/politics/2020-elections/arkansas-president-results?icid=election_usmap,0.348,423932,0.624,760647
California,55,https://www.nbcnews.com/politics/2020-elections/california-president-results?icid=election_usmap,0.635,11109764,0.34299999999999997,6005961
Colorado,9,https://www.nbcnews.com/politics/2020-elections/colorado-president-results?icid=election_usmap,0.5539999999999999,1804352,0.419,1364607
Connecticut,7,https://www.nbcnews.com/politics/2020-elections/connecticut-president-results?icid=election_usmap,0.5920000000000001,1080680,0.392,715291
Delaware,3,https://www.nbcnews.com/politics/2020-elections/delaware-president-results?icid=election_usmap,0.588,296268,0.39799999999999996,200603
District of Columbia,3,https://www.nbcnews.com/politics/2020-elections/district-of-columbia-president-results?icid=election_usmap,0.9209999999999999,317323,0.054000000000000006,18586
Florida,29,https://www.nbcnews.com/politics/2020-elections/florida-president-results?icid=election_usmap,0.479,5297045,0.512,5668731
Georgia,16,https://www.nbcnews.com/politics/2020-elections/georgia-president-results?icid=election_usmap,0.495,2473633,0.493,2461854
Hawaii,4,https://www.nbcnews.com/politics/2020-elections/hawaii-president-results?icid=election_usmap,0.637,366130,0.34299999999999997,196864
Idaho,4,https://www.nbcnews.com/politics/2020-elections/idaho-president-results?icid=election_usmap,0.331,287021,0.638,554118
Illinois,20,https://www.nbcnews.com/politics/2020-elections/illinois-president-results?icid=election_usmap,0.575,3471915,0.405,2446891
Indiana,11,https://www.nbcnews.com/politics/2020-elections/indiana-president-results?icid=election_usmap,0.41,1242495,0.57,1729852
Iowa,6,https://www.nbcnews.com/politics/2020-elections/iowa-president-results?icid=election_usmap,0.449,759061,0.531,897672
Kansas,6,https://www.nbcnews.com/politics/2020-elections/kansas-president-results?icid=election_usmap,0.415,570323,0.561,771406
Kentucky,8,https://www.nbcnews.com/politics/2020-elections/kentucky-president-results?icid=election_usmap,0.36200000000000004,772474,0.621,1326646
Louisiana,8,https://www.nbcnews.com/politics/2020-elections/louisiana-president-results?icid=election_usmap,0.39899999999999997,856034,0.585,1255776
Maine,4,https://www.nbcnews.com/politics/2020-elections/maine-president-results?icid=election_usmap,0.531,435072,0.44,360737
Maryland,10,https://www.nbcnews.com/politics/2020-elections/maryland-president-results?icid=election_usmap,0.654,1985023,0.322,976414
Massachusetts,11,https://www.nbcnews.com/politics/2020-elections/massachusetts-president-results?icid=election_usmap,0.6559999999999999,2382202,0.321,1167202
Michigan,16,https://www.nbcnews.com/politics/2020-elections/michigan-president-results?icid=election_usmap,0.506,2804040,0.478,2649852
Minnesota,10,https://www.nbcnews.com/politics/2020-elections/minnesota-president-results?icid=election_usmap,0.524,1717077,0.45299999999999996,1484065
Mississippi,6,https://www.nbcnews.com/politics/2020-elections/mississippi-president-results?icid=election_usmap,0.41,539398,0.575,756764
Missouri,10,https://www.nbcnews.com/politics/2020-elections/missouri-president-results?icid=election_usmap,0.414,1253014,0.568,1718736
Montana,3,https://www.nbcnews.com/politics/2020-elections/montana-president-results?icid=election_usmap,0.40399999999999997,244786,0.5670000000000001,343602
Nebraska,5,https://www.nbcnews.com/politics/2020-elections/nebraska-president-results?icid=election_usmap,0.392,374583,0.5820000000000001,556846
Nevada,6,https://www.nbcnews.com/politics/2020-elections/nevada-president-results?icid=election_usmap,0.501,703486,0.47700000000000004,669890
New Hampshire,4,https://www.nbcnews.com/politics/2020-elections/new-hampshire-president-results?icid=election_usmap,0.528,424921,0.455,365654
New Jersey,14,https://www.nbcnews.com/politics/2020-elections/new-jersey-president-results?icid=election_usmap,0.5710000000000001,2608335,0.413,1883274
New Mexico,5,https://www.nbcnews.com/politics/2020-elections/new-mexico-president-results?icid=election_usmap,0.5429999999999999,501614,0.435,401894
New York,29,https://www.nbcnews.com/politics/2020-elections/new-york-president-results?icid=election_usmap,0.609,5244006,0.377,3250230
North Carolina,15,https://www.nbcnews.com/politics/2020-elections/north-carolina-president-results?icid=election_usmap,0.486,2684292,0.499,2758773
North Dakota,3,https://www.nbcnews.com/politics/2020-elections/north-dakota-president-results?icid=election_usmap,0.318,114902,0.6509999999999999,235595
Ohio,18,https://www.nbcnews.com/politics/2020-elections/ohio-president-results?icid=election_usmap,0.452,2679165,0.5329999999999999,3154834
Oklahoma,7,https://www.nbcnews.com/politics/2020-elections/oklahoma-president-results?icid=election_usmap,0.32299999999999995,503890,0.654,1020280
Oregon,7,https://www.nbcnews.com/politics/2020-elections/oregon-president-results?icid=election_usmap,0.565,1340383,0.40399999999999997,958448
Pennsylvania,20,https://www.nbcnews.com/politics/2020-elections/pennsylvania-president-results?icid=election_usmap,0.5,3459923,0.488,3378263
Rhode Island,4,https://www.nbcnews.com/politics/2020-elections/rhode-island-president-results?icid=election_usmap,0.594,307486,0.386,199922
South Carolina,9,https://www.nbcnews.com/politics/2020-elections/south-carolina-president-results?icid=election_usmap,0.434,1091541,0.551,1385103
South Dakota,3,https://www.nbcnews.com/politics/2020-elections/south-dakota-president-results?icid=election_usmap,0.35600000000000004,150471,0.618,261043
Tennessee,11,https://www.nbcnews.com/politics/2020-elections/tennessee-president-results?icid=election_usmap,0.375,1143711,0.607,1852475
Texas,38,https://www.nbcnews.com/politics/2020-elections/texas-president-results?icid=election_usmap,0.465,5259126,0.52,5890347
Utah,6,https://www.nbcnews.com/politics/2020-elections/utah-president-results?icid=election_usmap,0.376,560282,0.581,865140
Vermont,3,https://www.nbcnews.com/politics/2020-elections/vermont-president-results?icid=election_usmap,0.6609999999999999,242820,0.307,112704
Virginia,13,https://www.nbcnews.com/politics/2020-elections/virginia-president-results?icid=election_usmap,0.541,2413568,0.44,1962430
Washington,12,https://www.nbcnews.com/politics/2020-elections/washington-president-results?icid=election_usmap,0.58,2369612,0.38799999999999996,1584651
West Virginia,5,https://www.nbcnews.com/politics/2020-elections/west-virginia-president-results?icid=election_usmap,0.297,235984,0.6859999999999999,545382
Wisconsin,10,https://www.nbcnews.com/politics/2020-elections/wisconsin-president-results?icid=election_usmap,0.495,1630673,0.488,1610065
Wyoming,3,https://www.nbcnews.com/politics/2020-elections/wyoming-president-results?icid=election_usmap,0.266,73491,0.6990000000000001,193559
